model,1star,2star,3star,4star,5star
LSTM,0.6960072595281307,0.47502448579823703,0.41386901485965877,0.4484722941481098,0.6311066799601196
Bi-LSTM,0.6841828691539674,0.5146608315098469,0.4527363184079602,0.4449244060475162,0.6266666666666667
BERT,0.7723258096172718,0.5859872611464968,0.5971428571428572,0.5512953367875648,0.7353515625
RoBERTa,0.7907425265188043,0.6055900621118012,0.6129188926663429,0.5657754010695187,0.7544794188861985
